Name,Diet,Length,Taxonomy,Species
Aardonyx,Herbivorous,8.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Anchisauria,Celestae
Abelisaurus,Carnivorous,9.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae Abelisaurinae,Comahuensis
Achelousaurus,Herbivorous,6.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria Ceratopsidae Centrosaurinae,Horneri
Achillobator,Carnivorous,5.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Paraves Eumaniraptora Dromaeosauridae,Giganteus
Acrocanthosaurus,Carnivorous,12.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Carnosauria Allosauroidea Carcharodontosauridae,Atokensis
Aegyptosaurus,Herbivorous,15.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Baharijensis
Afrovenator,Carnivorous,9.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Megalosauridae Eustreptospondylinae,Abakensis
Agilisaurus,Herbivorous,1.5M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Louderbacki
Alamosaurus,Herbivorous,21.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Sanjuanensis
Albertaceratops,Herbivorous,7.0M,Dinosauria Ornithischia,Nesmoi
Albertosaurus,Carnivorous,9.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea Tyrannosauridae Albertosaurinae,Libratus
Alectrosaurus,Carnivorous,5.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Olseni
Alioramus,Carnivorous,6.0M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Tyrannosauroidea,Remotus
